"id","title","dsc","press","posted_date","link"
1,내년 ‘소비기한’ 시대 도래…소비자 반기는데 기업은 '걱정',"소비기한 표시제 시행, 소비자들 기대감 높아 자취 5년차인 30대 직장인 김모 씨(여)는 내년 1월 1일부터 시행되는 ‘식품 소비기한 표시제’에 관심이 많다. 김 씨는 ""소비기한의 개념을 몰랐을 당시 유통기한이 지난...",더팩트,2022-09-08,http://news.tf.co.kr/read/economy/1964023.htm
2,내년부터 건기식 '유통기한→소비기한' 표시 변경,"건강기능식품 유통기한이 내년부터 소비기한 표시제로 바뀌면서 업체와 약국에도 영향을 미칠 것으로 보인다. 작년 국회에서 식품·표시 광고법 개정안이 통과되면서, 건기식 유통기한은 내년 1월 1일부터 소비기한으로...",데일리팜,2022-08-30,http://www.dailypharm.com/Users/News/NewsView.html?ID=291368&REFERER=NP
3,"아산시, '식품 소비기한 표시제' 1년 유예기간 적용",아산시(시장 박경귀)는 유통기한이 지나도 섭취할 수 있는 식품이 폐기되는 것을 막고 자원 소비를 줄이기 위해 내년부터 시행되는 '식품 소비기한 표시제'에 1년의 유예기간이 적용된다고 알렸다. 이미지=박나라 기자...,농수축산신문,2022-08-25,http://www.aflnews.co.kr/news/articleView.html?idxno=232092
4,[기고] 식품 소비기한 표시제의 안정적 도입 위한 계도기간 부여,"이러한 혼란을 방지하면서 소비자에게 명확한 정보를 제공하고 식품 폐기물 감소를 위해 `23년 1월 1일부터 유통기한 대신 소비기한 표시제(냉장보관 우유, 환원유 제외)가 시행된다. 식약처는 대부분의 가공식품이...",무등일보,2022-08-25,http://www.mdilbo.com/detail/AjBTxA/676770
5,"아산시, '식품 소비기한 표시제' 1년 유예기간 적용","시 관계자는 ""내년 1년간의 계도기간 이후 소비기한을 표시하지 않는 경우 시정명령이 내려지며 시정명령을 이행하지 않으면 품목 제조 정지 15일 등의 행정처분을 받을 수 있다""고 말했다. 아산시,숙품소비기한표시제",중부매일,2022-08-25,http://www.jbnews.com/news/articleView.html?idxno=1369364
6,"아산시, '식품 소비기한 표시제' 유예 기간 적용",소비기한과 유통기한의 차이점 안내문 충남 아산시는 내년부터 시행되는 '식품 소비기한 표시제'에 1년의 유예기간이 적용된다고 25일 말했다. '식품 소비기한 표시제'란 기업이 소비자에게 식품을 유통할 수 있는 날짜인...,충남일보,2022-08-25,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=675896
7,"아산시, '식품 소비기한 표시제' 1년 유예기간 적용 안내","소비기한과 유통기한의 차이점 안내문 충남 아산시는 내년부터 시행되는 '식품 소비기한 표시제'에 대해 1년의 유예기간이 적용된다고 알렸다. 25일 시에 따르면, '식품 소비기한 표시제'란 기업이 소비자에게 식품을...",충청뉴스,2022-08-25,http://www.ccnnews.co.kr/news/articleView.html?idxno=266954
8,시행 5개월 앞둔 소비기한 표시제 '1년간 계도기간 부여',건강기능식품 등에 내년 1월 1일부터 적용되는 소비기한 표시제를 앞두고 1년간의 계도기간이 설정됐다. 이 기간 동안에는 '유통기한'이 표시된 기존 포장지를 스티커 처리 없이 사용할 수 있다. 식약처는 최근 소비기한...,약사공론,2022-08-22,https://www.kpanews.co.kr/article/show.asp?idx=235564&category=B
9,"내년 1월 시행 소비기한 표시 준비 완료업체, 11일부터 선적용 가능","다음은 소비기한 표시제 선적용 및 계도기간 부여 관련 Q&A. Q. 소비기한 표시제 시행일은? 소비기한 표시제는 2023년 1월 1일부터 시행 예정이며, 시행일 이후 제조ㆍ가공하거나 수입을 위해 선적하는 경우부터 적용된다....",식품저널 foodnews,2022-08-12,http://www.foodnews.co.kr/news/articleView.html?idxno=98211
10,"소비기한 표기, 1년 계도기간 둔다 유통기한 대신 내년 1월 시행",식품의약품안전처가 내년 1월부터 시행되는 ‘식품 소비기한 표시제’에 1년의 계도기간을 두는 내용을 담은 ‘식의약 규제혁신 100대 과제’를 11일 발표했다. ‘식품 소비기한 표시제’란 식품을 유통할 수 있는...,동아일보,2022-08-12,https://www.donga.com/news/article/all/20220812/114924809/1
