"barcode_id","barcode","b_category_id","company_id","product_name","shelf_life","expiry_date"
1,"8809216851190",1,598,백김치,50,180
2,"8809334529339",1,547,유기농백김치,60,180
3,"8809357600107",1,964,포기김치,90,180
4,"8801115114611",9,707,후레쉬밀크,12,45
5,"8809353600170",12,145,명품돈.삽겹바베큐,45,7
6,"8809350310034",12,355,훈제닭가슴살바베큐,360,7
7,"8809130210363",5,171,도토리묵,20,0
8,"8809257828816",10,937,손수허브향담은촉촉한닭가슴살,30,180
9,"8809411050190",10,949,돼지양념갈비,15,180
10,"8809334529377",1,547,유기농백김치,60,180
11,"8809352640030",4,567,하루에한모수제두부,247,90
12,"8809050810438",5,417,월매네깻묵,30,0
13,"8809363090022",10,49,산들다온 유자삼겹,180,180
14,"8809411051418",10,949,오리고추장불고기,15,180
15,"8801066100473",8,138,이마트 야채사각어묵,12,3
16,"8809062259034",10,1016,양념닭꼬치(매콤한맛),5,180
17,"8809334527694",1,547,담채원 오이김치,60,180
18,"8809216851206",1,598,보쌈김치,50,180
19,"8809354580068",7,512,참지음 5가지맛 후랑크,40,7
20,"8802112000426",10,257,민속양념편육,20,180
21,"8801316121920",1,491,볶음김치,60,180
22,"8803767033012",8,645,고급 사각어묵 야채맛,1,3
23,"8801077666104",10,261,숀리닭가슴살비엔나 오리지날 Fresh,35,180
24,"8803760000073",1,744,깍두기,60,180
25,"8809360450171",10,1127,흰여울 양념 매콤 주물럭,20,180
26,"8809405820051",12,840,오리너비아니,45,7
27,"8803601001412",1,340,한성총각김치,30,180
28,"8809377760188",10,911,숯불닭구이,360,180
29,"8803601010490",1,340,동치미,28,180
30,"8801047585176",1,69,양반포기김치,45,180
31,"8801047587293",1,69,맛김치,28,180
32,"8809146731913",5,345,동부묵,15,0
33,"8809399880116",10,680,양념갈매기살,360,180
34,"8809029030058",8,690,꾸이마루,12,3
35,"8809071460650",1,810,갓김치,90,180
36,"8803573229388",8,128,어묵,10,3
37,"8802112000440",10,257,민속양념편육,20,180
38,"8809407550024",10,396,돼지보쌈,30,180
39,"8809090570163",10,583,순대국거리,40,180
40,"8809226810606",10,178,오리불고기,10,180
41,"8801242048612",8,754,삼호 부산어묵 종합,0,3
42,"8809406030077",7,502,불고기후랑크,30,7
43,"8801155643010",11,70,이태리안피자치즈,90,70
44,"8809013402847",6,785,이플러스베이컨,25,0
45,"8803601010643",1,340,한성열무김치,45,180
46,"8809321270084",10,242,춘천닭갈비 조리용,30,180
47,"8809183070600",8,1107,조림묵,15,3
48,"8809050810247",5,417,월매네청포묵,30,0
49,"8802547301020",1,804,총각김치,60,180
50,"8802266006329",7,200,뉴른버그쉬네켄,40,7
51,"8809261140010",5,92,검은깨 올방개묵,10,0
52,"8803760000325",1,744,총각김치,60,180
53,"8809331506869",10,937,화끈닭근위구이,30,180
54,"8809321270039",10,242,호야참숯날개바베큐,25,180
55,"8809354270037",10,265,미니족,60,180
56,"8809021759001",12,230,등심바베큐,60,7
57,"8809411051111",10,949,돼지양념갈비,15,180
58,"8809354580099",7,512,참지음 치즈맛 후랑크,40,7
59,"8809050810117",5,417,월매네도토리묵,30,0
60,"8809013403127",7,785,김치소시지,40,7
61,"8809089630045",10,330,전철우 LA소갈비,7,180
62,"8801066100251",8,138,순백사각,13,3
63,"8801066150959",8,138,쫄깃한 약속 조림볶음용 봉,13,3
64,"8809334529308",1,547,유기농백김치,60,180
65,"8801492351449",10,331,IFF 순살정육,360,180
66,"8801793072531",8,359,치즈어묵,15,3
67,"8809343350313",10,15,돼지왕구이용,15,180
68,"8809114612206",4,542,솥둠비,15,90
69,"8809391150019",10,1030,춘천닭갈비,7,180
70,"8809347801125",10,438,꿀맛구이용갈비,15,180
71,"8801066200227",8,138,야채돌이,10,3
72,"8809025430128",8,131,부산을숙도어묵,11,3
73,"8809354310092",12,869,블루베리오리바베큐,45,7
74,"8809334527113",1,547,담채원 총각김치,90,180
75,"8802257066288",1,523,안가네 천년의맛 묵은지,90,180
76,"8801066490093",8,138,게맛살,25,3
77,"8809385943214",10,270,참프레 후라이드치킨,270,180
78,"8801066100824",8,138,어사또,12,3
79,"8803104908058",1,1084,열무김치,90,180
80,"8808330222862",4,203,뚜부,20,90
81,"8801066100510",8,138,천하장군,13,3
82,"8809230651134",12,433,덕궁합 오리 훈제바베큐,40,7
83,"8801066511088",8,138,크라비아,40,3
84,"8809028891537",8,154,부산어묵목련,13,3
85,"8809416780023",1,516,깍두기,150,180
86,"8808397021101",5,52,곤약누들,180,0
87,"8809021450328",10,393,구들장돼지불고기,10,180
88,"8809153711229",12,534,청미원델리로인햄,30,7
89,"8809245290229",10,957,족발,60,180
90,"8809334527236",1,547,담채원 열무김치,90,180
91,"8809344630155",10,304,오향족발,60,180
92,"8809370980019",10,1061,연탄직화고추장불고기,365,180
93,"8809369670327",7,215,후랑크소시지,20,7
94,"8807022000696",12,979,로스트햄,45,7
95,"8801066150034",8,138,조기살 어묵,13,3
96,"8809411050183",10,949,돼지양념갈비,15,180
97,"8809353680004",10,247,통불닭발,180,180
98,"8809411051562",10,949,무뼈양념닭발,15,180
99,"8804006000079",8,128,야채맛어묵,13,3
100,"8801066104051",8,138,조기어묵롤,12,3
101,"8801066513259",8,138,김밥 愛(애) 쏘옥,40,3
102,"8809022350283",8,48,감칠미,15,3
103,"8809411050527",10,949,오리고추장불고기,15,180
104,"8809226810873",12,178,족발훈제바베큐,45,7
105,"8809186721615",1,1046,열무김치,31,180
106,"8803767020074",8,645,참 진어묵,1,3
107,"8801077638903",7,261,천하짱,40,7
108,"8809347801040",10,438,한돈주물럭,15,180
109,"8809360450362",10,1127,흰여울 한돈매콤 주물럭,20,180
110,"8802266006374",7,200,매운맛소시지,40,7
111,"8801077540107",7,261,비스카나페볼,30,7
112,"8801066101593",8,138,이마트 야채어묵,12,3
113,"8803856000390",1,259,별미포기김치,30,180
114,"8809112992546",4,689,손두부,3,90
115,"8808397010013",5,52,대신해초곤약,180,0
116,"8801066490079",8,138,게맛살,25,3
117,"8801066500105",8,138,게맛살골드,25,3
118,"8809332735015",10,357,웰콕양념닭갈비(다리살),10,180
119,"8809062250239",10,1016,닭발편육,40,180
120,"8809356100028",1,531,깍두기김치,60,180
121,"8809355010021",4,761,유미원전두부(저온),15,90
122,"8809334527212",1,547,담채원 열무김치,90,180
123,"8803767020012",8,645,오징어 볼,1,3
124,"8809028892145",8,154,부산어묵목련,13,3
125,"8809022350078",8,48,은말이,11,3
126,"8801066500112",8,138,대림선맛살,25,3
127,"8809334529391",1,547,유기농백김치,60,180
128,"8809253770201",10,1111,먹똥주물럭,360,180
129,"8801066104730",8,138,야채튀김어묵,13,3
130,"8809360450003",10,1127,흰여울양념돈왕구이,20,180
131,"8809334527410",1,547,담채원 석박지,90,180
132,"8809406030114",7,502,치즈맛 탱탱 후랑크,30,7
133,"8804434000047",9,489,유기농 성이시돌 목장 우유,16,45
134,"8809321270190",10,242,호야 직화 참숯 순살바베큐 후레쉬,30,180
135,"8809050810469",5,417,월매네도토리묵,30,0
136,"8809013470105",8,126,튀김 생선 어묵,12,3
137,"8801491400513",4,77,예당두부(찌개용),19,90
138,"8801066151307",8,138,찐어묵매,25,3
139,"8801104240642",10,135,요플레 오리지널 마일드,18,180
140,"8809334529094",1,547,유기농포기김치,365,180
141,"8801047590309",1,69,동원양반포기김치,35,180
142,"8809183070556",8,1107,몽,15,3
143,"8801492355904",12,331,뼈없는 허브 치킨,40,7
144,"8809374860041",7,551,제주흑돼지 불고기맛소시지,40,7
145,"8805184013318",8,129,야채맛어묵,12,3
146,"8803767028025",8,645,대묵,10,3
147,"8809219950111",1,856,깍뚜기,28,180
148,"8809321270398",10,242,달콤한 무뼈불닭발,365,180
149,"8809360450027",10,1127,흰여울양념돈왕구이,20,180
150,"8801227124546",7,141,도이치모듬소시지,270,7
151,"8809347800173",10,438,한돈주물럭,15,180
152,"8801047590170",1,69,양반맛김치,45,180
153,"8809406030039",7,502,살코기비엔나,30,7
154,"8809343350283",10,15,고추장LA돼지갈비,15,180
155,"8809355140117",10,56,양념닭발구이,10,180
156,"8809360450416",10,1127,흰여울 한돈왕구이,20,180
157,"8801066511279",8,138,크라비아 후레쉬,270,3
158,"8803760000066",1,744,깍두기,60,180
159,"8801047584032",1,69,양반 아삭 김치,40,180
160,"8809347800791",10,438,양념소LA갈비,360,180
161,"8809411051043",10,949,돼지고추장불고기,15,180
162,"8809013406081",7,785,크라카워,40,7
163,"8803767038017",8,645,[냉동] 모듬 어묵,600,3
164,"8809331503707",10,937,소갈비살 꼬치,360,180
165,"8809183070020",8,1107,마루,15,3
166,"8804669200120",8,673,부산어묵,13,3
167,"8801066511064",8,138,크라비아롤,12,3
168,"8801766070816",1,148,수라상 포기김치,30,180
169,"8809226810361",12,178,양지수육,45,7
170,"8801066300927",8,138,부산어묵 꼬마네모,13,3
171,"8802257066349",1,523,안가네 천년의맛 포기김치,90,180
172,"8801115555551",9,707,"3651등급우유",12,45
173,"8801492",7,331,하림비엔나,30,7
174,"8808051000091",1,556,총각김치,120,180
175,"8803601200068",1,340,맛김치,60,180
176,"8809288516010",10,970,순살 슬라이스 족발,60,180
177,"8809404180033",12,239,유황먹인오리훈제바베큐,45,7
178,"8804006000017",8,128,어묵,10,3
179,"8809352640092",4,567,하루에한모수제두부,247,90
180,"8809407960427",10,157,돈내장,12,180
181,"8809344170064",12,632,훈제삼겹,50,7
182,"8809369670181",6,215,훈제목살,20,0
183,"8809352640252",4,567,하루에한모맛두부,247,90
184,"8809276660077",12,125,산삼배양근함유 유황오리훈제,45,7
185,"8809331508443",12,937,훈제 닭가슴살,40,7
186,"8809230650120",10,433,오리양념불고기,10,180
187,"8808397021026",5,52,실곤약,180,0
188,"8809028892138",8,154,부산어묵목련,13,3
189,"8809013402540",7,785,쿡살라미,45,7
190,"8801066201057",8,138,대림선 볶음용어묵,13,3
191,"8801069917351",9,413,남양 맛있는 우유 GT,15,45
192,"8809216851213",1,598,석박지,50,180
193,"8801492364586",10,331,슬림 통살 닭가슴살,365,180
194,"8809021759032",12,230,이푸드 훈제 닭가슴살,60,7
195,"8809411050404",10,949,소양념불고기,15,180
196,"8809270560076",10,1074,뼈 없는 양념닭발(일명 무뼈 닭발),360,180
197,"8801066500266",8,138,게맛살큰잔치,40,3
198,"8803784000172",7,428,화이트소시지,40,7
199,"8809411050541",10,949,닭고추장불고기,15,180
200,"8801066513211",8,138,김밥 愛(애) 쏘옥,40,3
201,"8801122001027",9,71,덴마크 무항생제우유,9,45
202,"8809013405091",12,783,삼겹바베큐,40,7
203,"8803051880384",12,186,참숯 훈연 오리훈제,50,7
204,"8809377380300",5,550,건강엔(n)진한 도토리묵,4,0
205,"8803856000376",1,259,총각김치,60,180
206,"8809354310078",10,869,장안양념왕족,30,180
207,"8809347801200",10,438,아리랑닭고기,15,180
208,"8801066151161",8,138,요리 종합어묵,13,3
209,"8809353230117",10,124,태양내장,15,180
210,"8809400550090",1,463,열우물나박김치,360,180
211,"8809412450036",10,711,서진 양념불닭발,365,180
212,"8809352640214",4,567,하루에한모맛두부,247,90
213,"8809021752019",12,230,훈제돈족,60,7
214,"8801066310117",8,138,큐슈 사츠마아게 문어어묵,35,3
215,"8801492353481",12,331,하림 바베큐 버팔로윙,270,7
216,"8809366354039",10,782,백련초바베큐돼지막창,360,180
217,"8801066200098",8,138,실속종합어묵,13,3
218,"8809310770038",12,446,버드내 토종닭훈제,40,7
219,"8803404000087",8,360,어묵튀김(튀긴어묵),12,3
220,"8801066511019",8,138,크라비아,40,3
221,"8809353230124",10,124,태양내장,15,180
222,"8801066106505",8,138,야채촌호박어묵,10,3
223,"8801024120222",1,580,종가집맛김치,45,180
224,"8809383600348",10,107,양념오리불고기,13,180
225,"8801066150751",8,138,"100% 국내산 우엉을 넣어 만든 어묵",13,3
226,"8803601010049",1,340,한성포기김치,30,180
227,"8809365440023",12,602,벌꿀숙성 훈제오리 슬라이스,45,7
228,"8809408680492",10,838,간장오리 양념불고기,110,180
229,"8809369670167",6,215,훈제삼겹,20,0
230,"8809334527076",1,547,담채원 포기김치,365,180
231,"880106922177",9,413,남양 맛있는 우유 GT,15,45
232,"8809013406210",7,785,비프폴리쉬,40,7
233,"8803104000295",1,1084,총각김치,90,180
234,"8801066203051",8,138,잡채어묵,25,3
235,"8809028890097",8,154,부산어묵목련,13,3
236,"8809010581002",4,808,순두부,15,90
