"ingredient_id","ingredient_name"
1,가감
2,가공
3,가늬시
4,가니쉬
5,가다랑어포
6,가득
7,가라아게
8,가락
9,가람
10,가래
11,가래떡
12,가루
13,가루다
14,가루약
15,가루차
16,가리비
17,가마
18,가목
19,가문
20,가브리엘
21,가브릿살
22,가사리
23,가스
24,가스렌지
25,가슴
26,가시
27,가시오가피
28,가쓰오부시
29,가염
30,가오리
31,가운
32,가위
33,가자미
34,가장
35,가재
36,가죽
37,가지
38,가지찜
39,가쯔오부시
40,가츠오부시
41,가타
42,각
43,각각
44,각자
45,각종
46,간
47,간간
48,간강
49,간격
50,간단
51,간무
52,간무즙
53,간배
54,간사
55,간소
56,간수
57,간식
58,간장
59,간장게장
60,간질
61,간통
62,간파
63,갈라
64,갈매기살
65,갈분
66,갈비
67,갈비살
68,갈비찜
69,갈색
70,갈이
71,갈치
72,갈칫살
73,감
74,감귤
75,감밑
76,감성돔
77,감자
78,감자전
79,감자칩
80,감자탕
81,감초
82,감치
83,감칠맛
84,감태
85,감투
86,갑오징어
87,갓
88,갓김치
89,강
90,강낭콩
91,강된장
92,강력
93,강점
94,강정
95,강황
96,강회
97,갖은
98,개간
99,개관
100,개두
101,개반
102,개식
103,개싹
104,개인
105,개입
106,개정
107,개조
108,개탄
109,개틀
110,개편
111,객
112,갠
113,갯가재
114,갯수
115,갱
116,갱강
117,거
118,거른
119,거리
120,거봉
121,거북손
122,거피
123,건고
124,건더기
125,건마
126,건빵
127,건조
128,건파
129,건페퍼
130,건포도
131,건홍
132,걸
133,걸루
134,검
135,검정
136,검지
137,겁질콘
138,겉
139,겉껍질
140,겉면
141,겉잎
142,겉절이
143,게
144,게란
145,게량
146,게맛살
147,게살
148,게스
149,게장
150,겨자
151,견과
152,견과류
153,결
154,겹겹이
155,겹살
156,경장육사
157,경장육슬
158,경질
159,계란
160,계란노른자
161,계란말이
162,계란찜
163,계란프라이
164,계란후라이
165,계량
166,계피
167,계핏
168,계핏물
169,고
170,고구마
171,고구마줄기
172,고금
173,고급
174,고기
175,고기소
176,고다
177,고당
178,고등
179,고등어
180,고량주
181,고로케
182,고르곤졸라
183,고리
184,고마
185,고명
186,고물
187,고베
188,고봉
189,고사리
190,고수
191,고지
192,고집
193,고체
194,고추
195,고추가
196,고추기름
197,고추냉이
198,고추장
199,고춧가루
200,고춧거루
201,고춧잎
202,곤
203,곤약
204,골
205,골드
206,골뱅
207,골뱅이
208,골벵
209,골파
210,곰
211,곰국
212,곰장어
213,곰취
214,곰탕
215,곰피
216,곱
217,곱창
218,곳
219,공기
220,공기밥
221,공심채
222,공통
223,곶감
224,과
225,과당
226,과메기
227,과실주
228,과일
229,과자
230,과즙
231,과카
232,곽
233,관
234,관자
235,광양
236,광어
237,교자
238,구기자
239,구단
240,구매
241,구멍
242,구목
243,구미
244,구슬
245,구운소금
246,구울
247,구이
248,구청
249,구포
250,국
251,국구
252,국내
253,국물
254,국산
255,국수
256,국탕용
257,군내
258,군소
259,굴
260,굴국
261,굴림
262,굴비
263,굴소스
264,굴젓
265,궁
266,궁뎅
267,귀
268,귀리
269,규
270,규동
271,귤
272,귤즙
273,그냥
274,그대로
275,그라스
276,그레이드
277,그릇
278,그릭
279,그린
280,그릴
281,그림
282,근대
283,근위
284,글
285,글라스
286,글레이
287,글로리
288,글매
289,금가루
290,금귤
291,금기
292,금물
293,금테
294,기
295,기류
296,기름
297,기름기
298,기민
299,기본
300,기성품
301,기용
302,기원
303,기장
304,기재
305,기전
306,기준
307,기타
308,길이
309,김
310,김말이
311,김발속
312,김밥
313,김수미
314,김자
315,김장
316,김치
317,김치부침개
318,김치전
319,김치찌개
320,김칙
321,김칫
322,김칫국
323,김칫소
324,깃
325,깃감
326,까나리
327,까망베르
328,까스
329,까츠
330,깍두기
331,깍아
332,깐풍기
333,깡
334,깡통
335,깨
336,깨묵
337,깨소금
338,깨소슴
339,깨순
340,깨잎
341,깻
342,깻순
343,깻잎
344,깽
345,껍데기
346,껍떼기
347,껍질
348,꼬
349,꼬리
350,꼬마
351,꼬막
352,꼬망
353,꼬지전
354,꼬지햄
355,꼬추
356,꼬치
357,꼭지
358,꼴뚜기
359,꼼
360,꼼장어
361,꽁
362,꽁듀
363,꽁치
364,꽃
365,꽃게
366,꽃대
367,꽃맛살
368,꽃빵
369,꽃송이
370,꽈리
371,꾸러미
372,꾸리
373,꾸릿
374,꾸릿살
375,꿀
376,꿍팟봉
377,끝
378,끝물
379,끼
380,나
381,나무
382,나무꼬
383,나물
384,나미
385,나박
386,나배
387,나시
388,나중
389,나쵸
390,낙
391,낙곱새
392,낙엽
393,낙지
394,낙치
395,낚
396,난자완스
397,난황
398,난후
399,날개
400,날김
401,날치
402,남
403,남도
404,남양
405,남은수
406,남자
407,남짓
408,납작
409,납작만두
410,납짝
411,낫또
412,내기
413,내외
414,내용
415,내장
416,낼때
417,냄비
418,냉국
419,냉동
420,냉면
421,냉수
422,냉이
423,냉장고
424,냉채
425,냉파
426,냑
427,너겟
428,너구리
429,너비아니
430,너트
431,널햄
432,넓적다리
433,넘버원
434,넙
435,넙적
436,넙적다리
437,넙적당
438,넙적살
439,넛
440,넛맥
441,넣기
442,녀장
443,념
444,노
445,노가리
446,노각
447,노두
448,노란색
449,노랑
450,노루
451,노르
452,노른자
453,노미
454,노바
455,노스
456,노추
457,녹
458,녹두
459,녹말
460,녹말가루
461,녹물
462,녹색
463,녹차
464,놀
465,놈
466,농도
467,농사
468,농심
469,농어
470,농축
471,농축액
472,뇨
473,뇨끼
474,누
475,누룽지
476,누텔라
477,눈
478,느
479,느억맘
480,느타
481,느타리
482,느타리버섯
483,늘
484,늘액
485,능이버섯
486,니스
487,닝
488,닝치
489,닢
490,다담
491,다대기
492,다락
493,다랑어
494,다래
495,다량
496,다리
497,다린
498,다릿
499,다릿살
500,다마
501,다마네기
502,다발
503,다슬기
504,다시다
505,다시마
506,다싯물
507,다싯포
508,다용
509,다이브
510,다지
511,다진스팸
512,다짐
513,다크
514,다홍
515,다홍색
516,단감
517,단맛
518,단무지
519,단백
520,단백질
521,단소
522,단정
523,단족
524,단촛물
525,단호박
526,달
527,달걀
528,달걀노른자
529,달걀부침
530,달걀후라이
531,달고기
532,달달
533,달라짐
534,달랑
535,달래
536,달인
537,닭
538,닭갈비
539,닭강정
540,닭고기
541,닭꼬치
542,닭넙적살
543,닭다리
544,닭다릿살
545,닭도리탕
546,닭똥집
547,닭목
548,닭밑
549,닭발
550,닭볶음탕
551,닭봉
552,닭봉밑
553,닭뼈
554,닭살
555,닭염
556,닭윙
557,닭잡
558,닭죽
932,맨
559,닭찜
560,닭통
561,닭튀김
562,담
563,닷
564,당
565,당구공
566,당귀
567,당근
568,당면
569,당분
570,대가리
571,대게
572,대구
573,대두
574,대락
575,대란
576,대략
577,대루
578,대만
579,대멸
580,대반
581,대부분
582,대소
583,대신
584,대왕
585,대왕오징어
586,대자
587,대저
588,대정
589,대창
590,대체
591,대추
592,대추차
593,대출
594,대파
595,대판
596,대패
597,대피
598,대하
599,대합
600,대합조개
601,댜진파
602,더
603,더덕
604,덕
605,덧
606,덧살
607,덩어리
608,덩이
609,데
610,데리
611,데리야끼
612,데리야키
613,데미
614,데일
615,데치기
616,데친
617,데칠
618,데침
619,데침물
620,데코
621,덴마크
622,델라웨어
623,델리
624,도
625,도가니
626,도다리
627,도라지
628,도록
629,도루묵
630,도리
631,도마
632,도막
633,도미
634,도보
635,도시락
636,도안
637,도우
638,도토리
639,도토리묵
640,독도
641,독주
642,돈
643,돈가스
644,돈까스
645,돈나물
646,돈육
647,돈족
648,돈채
649,돈카츠
650,돈피
651,돈후
652,돌
653,돌나물
654,돌돔
655,돌림
656,돌뼈
657,돌이
658,돗
659,동결
660,동굴
661,동그랑땡
662,동동
663,동봉
664,동안
665,동우
666,동원
667,동일
668,동전
669,동초
670,동충하초
671,동치미
672,동태
673,동파육
674,돼지
675,돼지갈비
676,돼지감자
677,돼지고기
678,돼지껍데기
679,돼지껍질
680,된장
681,된장국
682,된장찌개
683,두
684,두둑
685,두루
686,두루치기
687,두룹
688,두릅
689,두봉
690,두부
691,두부김치
692,두유
693,두절
694,두툼
695,두피
696,둥글레
697,뒷다리
698,뒷다릿살
699,드
700,드라이
701,드램숄더랙
702,드레드
703,드레싱
704,드림
705,드페퍼
706,들기름
707,들깨
708,들깻
709,들깻순
710,들깻잎
711,듬
712,듬뿍
713,등등
714,등분
715,등뼈
716,등심
717,디쉬
718,디종
719,디죤
720,디카
721,디포
722,디핑
723,딜
724,딥
725,딩
726,따라서
727,따루
728,딸기
729,땅콩
730,땡초
731,떡
732,떡갈비
733,떡국
734,떡볶이
735,떡살
736,떡쌈
737,또띠아
738,똥집
739,뚜기
740,뚜껑
741,뚝
742,뚝딱
743,뚝배기
2784,톳
744,뚝심
745,뜰채
746,라나
747,라면
748,라벨
749,라비
750,라스
751,라오
752,라이
753,라인
754,라임
755,라즈베리
756,라차
757,라티
758,라피
759,락교
760,랄
761,랍
762,랍스터
763,랏차
764,랑드
765,래미
766,래인
767,랜덤
768,랩
769,랭
770,랭페
771,러셋
772,러스트
773,럭
774,럭용
775,런
776,런치
777,럼
778,럼주
779,럽
780,레
781,레기
782,레드와인
783,레디
784,레몬
785,레몬주스
786,레몬쥬스
787,레미
788,레소스
789,레쉬
790,레시피
791,레이스
792,레이즈
793,레이크
794,레인
795,렌틸콩
796,렐라
797,렛
798,로
799,로간
800,로드
801,로메
802,로스
803,로스트
804,로우
