"recipe_id","recipe_name","recipe_desc","views","recommand","scrap","cooking_serving","level","cooking_time"
1,북어갈비,오늘은 집에서 굴러다니고 쉽게 구할 수 있는 북어로 일품요리를 만들어 보았어요! 도시락 반찬으로는 물론 초대요리에도 너무너무 좋은 요리랍니다~ 겉에 찹쌀가루를 묻혀서 맛도 고소해요~,6865,3,97,2,2,60
2,표고버섯탕수,탕수육 먹을때 칼로리때문에 걱정하시는 분들!! 이제는 걱걱걱 정하지 마세요~ 칼로리를 조금 낮추고 맛은 올리고 게다가 영양까지 듬뿍듬뿍 들어있는 표고버섯을 이용한 탕수!!! 바로 표고버섯탕수♥ 건표고와 냉장고에 남아있는 야채들을 이용해서 함께 만들어 보아요.,16053,2,194,2,2,30
3,갈릭치킨,요즘 갈릭이 대세인거 같아요~ 그래서 오늘은 제가 너무 좋아하는 닭과 마늘을 한번에!! 달콤한 마늘향이 가득한 갈릭치킨을 만들어 보았어요~,8148,0,38,2,3,60
4,오코노미야키,술안주나 간식으로 쉽게 만들수 있는 일본요리 ,17312,6,219,2,3,60
5,매운갈비찜,화끈화끈 매운맛에 입에서 살살 녹는 부드런 갈비찜이예요.,9561,4,26,4,3,120
6,찜닭,밖에서 사먹는것과 거의 흡사하게 맛이 나서 만족하면서 먹었어요. 달콤하면서도 끝맛이 매운맛이 돌아 개운한 맛의 찜닭입니다.,15585,9,98,4,2,60
7,쏘야볶음,호프집 맥주 안주로 인기만점인 철판 소세지 야채볶음을 올리려구요. 밥반찬으로도 맥주 안주로도 안성맞춤인 굴소스로 맛을 내는 초간단 소야볶음입니다.,18595,11,171,2,1,15
8,어묵,예전에 한창 유행했던 빨간어묵~ 근데 어느새 조용히 사라지더라구요~ 옛추억을 맛보기 위해서 준비했어요~ 매콤한~ 빨간어묵!! 간식으로도 좋고 술안주로도 좋은 빨간어묵 만들어 보아용♥,11106,11,57,3,2,30
9,잡채,명절음식에서 빼놓을 수 없는 잡채 참 맛있지요. 칼로리가 높아서 먹을때 걱정이 좀 되긴 하지만요. 잡채는 생각보다 복잡하지 않아요. 당면과 여러가지 칼라풀한 재료들을 기름에 달달 볶으면 끝이랍니다.,18947,20,47,5,2,60
10,갈치조림,푹~ 졸여서 달달하고 칼칼한 갈치조림입니다. ,16061,18,90,2,2,30
11,코다리양념구이,한번 먹으면 중독되는 코다리양념구이 레시피를 소개합니다!,24015,28,99,2,2,30
12,깐풍코다리,수분이 적어 튀기기 좋은 코다리를 튀겨 깐풍소스에 버무려 보았답니다. 코다리는 기름기도 적고 코다리특유의 맛이 깐풍소스와 참 잘 어울리네요. 주말 가정특식으로도  손님상 메뉴로도 괜찮을것 같아요.,3508,3,30,4,2,90
13,부추제육볶음,스테미너에 좋은 영양 만점 부추제육볶음입니다~,11915,6,230,3,2,30
14,연어간장조림,연어간장조림에 일식 아라니소스를 넣어 졸였는데요. 소스가 좀 많은 것 같아서 제법 오래 졸였는데도 살이 단단한지 안부서졌어요. 봄향기가 나는 돈나물과 함께 한 접시 담아내니 손님상요리로도 훌륭할것 같아요.,9669,4,41,4,2,60
15,베이컨,너무 맛있는 오븐으로 만든 수제 베이컨 만들기 입니다. ,8539,0,61,2,1,60
16,오렌지탕수육,상큼한 오렌지를 넣은 탕수육을 소개합니다.,5321,5,36,3,3,60
17,떡갈비,부드러운 육질이 살살녹는 우리나라 전통음식 떡갈비입니다.,20952,15,243,3,3,60
18,오렌지닭봉구이,쌉싸름한 오렌지향 때문에 느끼하지 않았구요. 더군다나 오븐에 구워서 담백하구 맛있는 오렌지 닭봉구이입니다.,4091,4,31,3,2,90
19,돼지고기야채볶음,돼지고기와 냉장고 속 야채들을 함께 볶은 돼지고기 야채볶음,12992,9,32,2,2,60
20,코다리조림,칼칼하고 짭쪼롬한 코다리조림 레시피를 소개합니다~,15591,12,73,3,2,30
21,돼지고기카레불고기,빨간 고추장양념에 카레가루를 넣어 만든 돼지불고기랍니다.,5831,3,18,3,2,120
22,유자제육볶음,향긋한 달래와 유자를 넣어 달콤함 내음이 좋은 제육볶음입니다. 유자청을 넣은 돼지고기가 정말 독특하고 맛있었어요~ 한입 먹는 순간 유자의 향이 입속을 맴도는게 정말 맛나더라구요~ 돼지냄새도 안나고용~,3552,2,14,2,2,30
23,등갈비바베큐,훼밀리레스토랑보다 훠얼~씬 저렴하고 푸짐하게 먹을 수 있어서 굿이에요. 주말 특식으로 한번 만들어 보세요~,5644,2,20,4,3,120
24,굴비탕수육,싱싱한 참굴비가 선물로 들어왔길래 간만에 참굴비탕수육을 만들었어요. 바삭한 참굴비랑 새콤달콤한 탕수소스가 넘 잘어울린답니다.,3279,4,15,4,3,60
25,풋마늘오징어무침,봄 철 입 맛에 도움이 되는 새콤  달콤  매콤한 풋마늘 오징어 무침을 만들어 봅니다.,18929,15,75,2,2,30
26,새우탕수,새콤달콤한 탕수육 소스와 새우의 만남! 탕수새우입니다.,9654,5,88,4,3,60
27,돼지갈비찜,부드럽고 담백한 돼지고기를 푸짐하게 즐기는 돼지갈비찜입니다.,47124,7,471,3,3,120
28,칠리새우,매콤달콤 소스에 버무린 고소한 새우튀김. 남녀노소 누구나 좋아하는 칠리새우랍니다.,14897,14,110,6,3,60
29,스프링롤,아삭아삭 야채와 쫄깃 쫄깃 쌀국수가 듬뿍 든 오감만족 스프링롤 함께 만들어 봐요.,70559,45,361,4,2,30
30,해물닭찜,그야말로 해물과 닭이 만나서 상상초월의 맛이었답니당. 시원한 바다내음이 전해지는 닭찜. 꼭 한번 만들어 보세요. 강추.,8949,13,41,4,3,90
31,김치삼겹살말이,노릇노릇하게 구워진 삼겹살속에 숨어있는 상큼한 신김치. 생각만해도 입안에 침이 가득 고이시죠? 신김치삼겹살말이입니다.,10415,7,92,3,2,30
32,닭고기야채조림,약간은 짭조름하게 약간은 매콤하게 닭고기랑 야채랑 놀아요. 닭고기야채조림이랍니다.,4282,3,24,4,2,60
33,골뱅이무침,출출한 밤에 야식으로도 제격인 매콤새콤달콤 골뱅이무침을 만들어볼께요. 골뱅이무침의 생명은 양념장이겠죠? 정말 새콤달콤매콤한 양념장 만들기 비법도 알려드릴테니 놓치지마세용.,30121,27,107,2,2,15
34,미트볼야채조림,담백한 돼지고기로 만든 부드럽고 고소한 미트볼 야채조림입니다.,19564,1,99,4,2,60
35,고추잡채,매콤해서 더 맛있는 중화풍 매콤 고추잡채입니다.,32896,24,243,4,2,30
193,오징어볶음,칼칼하게 오징어볶음 만들어봤어요~,80591,15,829,2,2,30
8580,고등어김치조림,고등어김치조림,10608,0,121,2,1,60
36,묵은지삼겹살두루치기,종종 만들어 먹는 울 집 별미~ 삼겹살 불판에 구워먹고 남아 굽기두 모잘르고 그럴때 만들어 먹음 맛나요~ 김치볶음도 먹고 삼겹살두 먹꼬~ 어제 저녁 물향기네 메뉴랍니다.,52314,44,720,4,2,30
37,황태오븐구이,황태구이는 보통 고추장 양념으로 많이 구워 드시죠? 저는 시어머님께서 전수해주신 방법인 불고기양념장에 황태를 재웠다가 구워 먹고 있어요. 손님상에 놓으면 어른들께서 소고기보다 더 맛있다고 칭찬듣는 메뉴입니다. ,10388,4,72,4,3,60
38,닭봉케찹조림,고소한 호두를 더한 닭봉케찹조림입니다.,6621,3,40,3,3,90
39,무화과닭갈비,무화과 때문에 달달한 맛이 느껴지면서 매콤한 닭갈비~ 단맛이 절대 밉지가 않아요.,4017,1,13,4,2,60
40,돈까스,아삭거리는 콩나물과 새콤한 신김치와 돈까스랑 잘 어울리겠죠? 한국식 돈까스입니다.,13383,11,46,6,2,60
41,동파육,야들야들하니 쫀뜩쫀득한 중국식 수육! 동파육을 만들어 먹었답니다. 대파채랑 청경채랑 함께 곁들이니 정말 정말 붸리 굿. 맛있는 도야지 요리~~!! 소동파도 울고 간다는 동파육의 맛에 빠져봐여~,121368,53,1428,4,2,90
42,삼치데리야끼,얼마전 동생이 어부현종님에게서 받은 싱싱한 해산물과 생선들.. 나눠 먹어야한다고 몇종류를 주드라구요~ 싱싱한 해산물은 숯불구이루 후다닥 먹고.. 삼치는 노릇하게 구워 밥반찬으로 먹고 1/2마리가 남았네요~ 비린내두 적고..두툼한 삼치살.. 장어구이가 생각 나던 차에.. 삼치로 장어구이맛을 냈답니다..^^ 물향기랑 삼치 데리야끼 만들어 보아요~ 데리야끼소스 그리 어렵지 않답니다..,13277,10,130,2,1,30
43,치킨데리야끼,치킨 데리야끼 하나만으로도 맛있는 도시락 함께 만들어 보아용,8589,6,113,1,2,60
44,두부감자채탕수,두부를 이용해서 맛있는 간식 만들기에 도전. 두부를 으깨니 씹히는 맛이 덜할 것 같아서 감자와 당근은 채를 썰어서 넣어봤는데 고로케 처럼 재료를 모두 익히거나 다져서 넣는 것보다 씹히는 맛이 있어서 더 맛있더라구요.,5487,2,45,4,2,60
45,새우구이,고소하고 부드러운 카레감자 새우구이 소개합니다~,5472,5,99,4,2,120
46,연어구이,고급 생선에 속하는 연어는 비타민과 단백질이 풍부하며 더불어 지방도 풍부한 생선으로 알려 있어요~ 그냥 먹기에 기름이 너무 많아 자칫 비릿하고 느끼할수 있는 연어를 바질 페스토에 재웠다가 오븐에 기름 쫙 빼고 구워 봤어요~ 함께 곁들이는 야채도 맛있어요~,19790,4,152,2,2,30
47,등갈비구이,집에서 저렴하게 등갈비구이 만들어보세요~,24315,6,72,5,2,120
48,아귀찜,아구찜을 밖에서 사먹으면 아구는 안보이고 콩나물이랑 야채만 먹게되는데 집에서 만들어 먹으면 저렴한 가격으로 아구를 많이 먹을 수 있어서 좋답니다.,109727,32,1106,4,2,30
49,치킨오븐구이,요거 교*치킨 맛이 나서 가끔씩 해먹는데 반응이 아주 좋더라구요. 더운데 기름에 튀기지 않아서 좋고 오븐에 구워서 간단해서 좋고  요거 맥주 안주로 정말 최고~,18225,8,142,4,2,90
50,연어데리야끼,쉽고 맛있게 먹을 수 있는 연어데리야끼 준비했어요. 특히 연어 특유의 비린내 때문에 연어를 못 드시는 분들은 꼭 해보세요.데리야끼 양념때문에 비린내가 전혀 나지 않아서 맛있게 드실 수 있을거예요.,7371,3,114,2,2,30
51,탕수육,담백한 후지살로 만든 새콤달콤한 소스가 곁들여진 바삭한 탕수육입니다. 집에서 중국집의 맛을 재현해보세요.,7354,4,50,2,2,60
52,고등어고추장강정,매콤달콤 고등어고추장강정 소개합니다~,3787,7,41,5,2,30
53,닭고기완자,닭가슴살로 다이어트에도 좋고 소화도 잘되는 완자를 만들어 봤어요. 옥수수가 들어가서 달작지근하고 단백해서 아이들 밥반찬이나 영양간식으로 좋을듯 합니다.,6786,8,62,4,2,60
54,삼치강정,삼치의 색다른 변신~ 새로운 맛의 삼치요리 삼치강정입니다.,8665,3,81,3,2,30
